name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Tokuyama Corporation ,4043.TSE,Japan,Specialty Chemicals,1151,2439,72
Glory Ltd. ,6457.TSE,Japan,Industrial Machinery and Supplies and Components,1151,1885,56
OSG Corporation ,6136.TSE,Japan,Industrial Machinery and Supplies and Components,1151,1039,96
TV Asahi Holdings Corporation ,9409.TSE,Japan,Broadcasting,1151,2103,102
Life Corporation ,8194.TSE,Japan,Food Retail,1150,5551,47
Kaga Electronics Co.Ltd. ,8154.TSE,Japan,Technology Distributors,1150,4125,26
JCR Pharmaceuticals Co. Ltd. ,4552.TSE,Japan,Pharmaceuticals,1150,246,125
Mitsubishi Shokuhin Co. Ltd. ,7451.TSE,Japan,Food Distributors,1147,13955,43
The Shiga Bank Ltd. ,8366.TSE,Japan,Regional Banks,1143,683,48
Studio Dragon Corporation ,253450.KQ,South Korea,Movies and Entertainment,1142,603,30
Nippn Corporation ,2001.TSE,Japan,Packaged Foods and Meats,1141,2614,78
Taiwan Union Technology Corporation ,6274.TWO,Taiwan,Electronic Components,1137,516,269
Wonik Ips Co. Ltd ,240810.KQ,South Korea,Semiconductor Materials and Equipment,1130,674,48
Benefit One Inc. ,2412.TSE,Japan,Human Resource and Employment Services,1130,286,158
freee K.K. ,4478.TSE,Japan,Application Software,1128,133,58
Okumura Corporation ,1833.TSE,Japan,Construction and Engineering,1127,1822,37
Wisdom Marine Lines Co. Limited (Cayman) ,2637.TW,Taiwan,Marine Transportation,1123,644,746
Hyosung TNC Corporation ,298020.KO,South Korea,Commodity Chemicals,1121,5898,4
Fukuda Denshi Co. Ltd. ,6960.TSE,Japan,Health Care Equipment,1118,942,30
KATITAS CO. Ltd. ,8919.TSE,Japan,Real Estate Development,1117,862,78
Seria Co. Ltd. ,2782.TSE,Japan,Broadline Retail,1117,1478,75
DeNA Co. Ltd. ,2432.TSE,Japan,Interactive Home Entertainment,1117,943,111
MIXI Inc. ,2121.TSE,Japan,Interactive Home Entertainment,1114,1003,74
