symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
1321.TW,Ocean Plastics Co. Ltd.,Taiwan,Commodity Chemicals,242,170,221,"220,684,992",TWD,[],
8418.TSE,Yamaguchi Financial Group Inc.,Japan,Regional Banks,2008,916,222,"221,832,992",JPY,[],
4676.TSE,Fuji Media Holdings Inc.,Japan,Broadcasting,2345,3744,220,"222,411,008",JPY,[consumer-50,entertainment-100]
5903.TWO,Taiwan FamilyMart Co. Ltd.,Taiwan,Food Retail,1366,3061,223,"223,220,000",TWD,[consumer-50],
2373.TW,Aurora Corporation,Taiwan,Technology Distributors,522,409,224,"223,706,000",TWD,[],
6139.TW,L&K Engineering Co. Ltd.,Taiwan,Diversified Support Services,823,1247,226,"225,540,992",TWD,[],
6202.TW,Holtek Semiconductor Inc.,Taiwan,Semiconductors,435,125,226,"226,168,000",TWD,[],
2492.TSE,Infomart Corporation,Japan,Data Processing and Outsourced Services,616,83,227,"226,234,000",JPY,[],
5991.TSE,NHK Spring Co. Ltd.,Japan,Automotive Parts and Equipment,1736,4963,227,"226,516,992",JPY,[],
4088.TSE,Air Water Inc.,Japan,Industrial Gases,2898,6987,228,"227,352,000",JPY,[],
3078.TWO,Channel Well Technology Co.Ltd.,Taiwan,Electronic Components,546,269,227,"227,391,008",TWD,[tech-100],
3197.TSE,Skylark Holdings Co. Ltd.,Japan,Restaurants,3152,2296,228,"227,502,000",JPY,[],
8905.TSE,AEON Mall Co. Ltd.,Japan,Real Estate Operating Companies,2764,2917,228,"227,555,008",JPY,[],
3701.TW,FIC Global Inc.,Taiwan,Electronic Manufacturing Services,413,409,228,"228,103,008",TWD,[tech-100],
4174.TWO,OBI Pharma Inc.,Taiwan,Biotechnology,580,0,229,"228,894,000",TWD,[],
1225.TW,Formosa Oilseed Processing Co. Ltd.,Taiwan,Packaged Foods and Meats,384,489,230,"229,638,000",TWD,[],
3209.TW,Alltek Technology Corporation,Taiwan,Technology Distributors,248,1920,230,"230,028,992",TWD,[],
1723.TW,China Steel Chemical Corporation,Taiwan,Specialty Chemicals,815,302,232,"232,150,000",TWD,[],
9958.TW,Century Iron and Steel Industrial Co.Ltd.,Taiwan,Steel,1322,358,235,"233,296,992",TWD,[],
3010.TW,Wah Lee Industrial Corporation,Taiwan,Technology Distributors,682,2126,236,"236,018,000",TWD,[],
3030.TW,Test Research Inc.,Taiwan,Electronic Equipment and Instruments,446,162,236,"236,216,000",TWD,[tech-100],
1203.TW,Ve Wong Corporation,Taiwan,Packaged Foods and Meats,307,210,238,"237,706,000",TWD,[],
2314.TW,Microelectronics Technology Inc.,Taiwan,Communications Equipment,278,153,238,"238,028,000",TWD,[tech-100],
3023.TW,SINBON Electronics Co. Ltd.,Taiwan,Electronic Components,2407,1069,240,"239,056,000",TWD,[tech-100],
