symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
9733.TSE,Nagase Brothers Inc.,Japan,Education Services,340,366,26,"26,326,200",JPY,[consumer-50],
8173.TSE,Joshin Denki Co. Ltd.,Japan,Computer and Electronics Retail,419,2796,26,"26,420,100",JPY,[consumer-50],
068240.KQ,Dawonsys Co.Ltd.,South Korea,Construction Machinery and Heavy Transportation Equipment,417,238,34,"26,441,900",KRW,[],
6363.TSE,Torishima Pump Mfg. Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,341,491,27,"26,451,900",JPY,[],
2910.TSE,Rock Field Co.Ltd.,Japan,Restaurants,287,354,27,"26,597,800",JPY,[],
1663.TSE,K&O Energy Group Inc.,Japan,Gas Utilities,471,744,27,"26,599,200",JPY,[],
011210.KO,HYUNDAI WIA Corporation,South Korea,Automotive Parts and Equipment,1253,6612,27,"26,645,800",KRW,[],
3539.TSE,JM Holdings Co.Ltd.,Japan,Food Retail,347,1089,27,"26,679,100",JPY,[consumer-50],
052020.KQ,STCube Inc.,South Korea,Technology Distributors,414,5,47,"26,755,500",KRW,[],
249420.KO,Ildong Pharmaceutical Co. Ltd.,South Korea,Pharmaceuticals,429,468,28,"26,785,300",KRW,[],
139480.KO,E-MART Inc.,South Korea,Consumer Staples Merchandise Retail,1392,22465,27,"26,788,400",KRW,[consumer-50],
6272.TSE,Rheon Automatic Machinery Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,243,246,27,"26,807,500",JPY,[],
7408.TSE,JAMCO Corporation,Japan,Aerospace and Defense,291,379,27,"26,824,900",JPY,[],
7868.TSE,KOSAIDO Holdings Co. Ltd.,Japan,Commercial Printing,561,252,27,"26,938,400",JPY,[],
018290.KQ,VT Co. Ltd.,South Korea,Commodity Chemicals,513,189,34,"26,957,400",KRW,[],
033500.KQ,Dongsung FineTec Co. Ltd.,South Korea,Specialty Chemicals,261,370,29,"26,983,600",KRW,[],
200880.KO,Seoyon E-Hwa Co. Ltd.,South Korea,Automotive Parts and Equipment,332,2456,27,"27,022,800",KRW,[],
9413.TSE,TV TOKYO Holdings Corporation,Japan,Broadcasting,542,1033,27,"27,048,400",JPY,[consumer-50,entertainment-100]
6289.TSE,Giken Ltd.,Japan,Construction Machinery and Heavy Transportation Equipment,371,221,27,"27,217,600",JPY,[],
9837.TSE,Morito Co. Ltd.,Japan,Textiles,242,354,27,"27,232,400",JPY,[],
6036.TSE,KeePer Technical Laboratory Co. Ltd.,Japan,Specialty Chemicals,1058,118,27,"27,280,200",JPY,[],
103140.KO,Poongsan Corporation,South Korea,Diversified Metals and Mining,681,3221,27,"27,314,300",KRW,[],
7944.TSE,Roland Corporation,Japan,Leisure Products,708,684,25,"27,338,900",JPY,[consumer-50],
9672.TSE,Tokyotokeiba Co.Ltd.,Japan,Leisure Facilities,746,250,27,"27,413,500",JPY,[consumer-50],
307950.KO,Hyundai Autoever Corporation,South Korea,IT Consulting and Other Services,3777,2266,27,"27,423,100",KRW,[],
7745.TSE,A&D HOLON Holdings Company Limited,Japan,Electronic Equipment and Instruments,313,418,28,"27,452,200",JPY,[tech-100],
006260.KO,LS Corp.,South Korea,Electrical Components and Equipment,2059,17023,28,"27,458,600",KRW,[],
120110.KO,Kolon Industries Inc.,South Korea,Commodity Chemicals,978,4007,30,"27,512,100",KRW,[],
012510.KO,Douzone Bizon Co. Ltd.,South Korea,Systems Software,590,243,28,"27,565,500",KRW,[tech-100],
6564.TSE,Midac Holdings Co. Ltd.,Japan,Environmental and Facilities Services,348,55,28,"27,603,500",JPY,[],
7606.TSE,United Arrows Ltd.,Japan,Apparel Retail,365,917,28,"27,664,100",JPY,[consumer-50],
6340.TSE,Shibuya Corporation,Japan,Industrial Machinery and Supplies and Components,468,677,28,"27,667,100",JPY,[],
9699.TSE,Nishio Holdings Co. Ltd.,Japan,Trading Companies and Distributors,662,1257,28,"27,761,200",JPY,[],
2792.TSE,Honeys Holdings Co. Ltd.,Japan,Apparel Retail,301,393,28,"27,865,200",JPY,[consumer-50],
4041.TSE,Nippon Soda Co. Ltd.,Japan,Diversified Chemicals,1044,1164,28,"27,884,700",JPY,[],
4551.TSE,Torii Pharmaceutical Co. Ltd.,Japan,Pharmaceuticals,744,356,28,"28,099,000",JPY,[],
039200.KQ,Oscotec Inc.,South Korea,Pharmaceuticals,841,4,39,"28,101,800",KRW,[],
8160.TSE,Kisoji Co. Ltd.,Japan,Restaurants,457,329,28,"28,161,600",JPY,[],
6507.TSE,Sinfonia Technology Co.Ltd.,Japan,Heavy Electrical Equipment,311,746,28,"28,196,100",JPY,[],
6364.TSE,Hokuetsu Industries Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,426,348,30,"28,207,900",JPY,[],
023530.KO,Lotte Shopping Co. Ltd.,South Korea,Broadline Retail,1492,11379,28,"28,270,600",KRW,[consumer-50],
4886.TSE,ASKA Pharmaceutical Holdings Co.Ltd.,Japan,Pharmaceuticals,328,423,28,"28,283,200",JPY,[],
5192.TSE,Mitsuboshi Belting Ltd.,Japan,Industrial Machinery and Supplies and Components,916,573,28,"28,355,200",JPY,[],
7384.TSE,Procrea Holdings Inc.,Japan,Regional Banks,384,493,28,"28,388,000",JPY,[],
3458.TSE,CRE Inc.,Japan,Diversified Real Estate Activities,311,367,29,"28,407,500",JPY,[],
093050.KO,LF Corp.,South Korea,Apparel Accessories and Luxury Goods,300,1449,29,"28,460,000",KRW,[consumer-50],
2908.TSE,Fujicco Co. Ltd.,Japan,Packaged Foods and Meats,368,378,29,"28,463,800",JPY,[],
3131.TWO,Grand Process Technology Corporation,Taiwan,Semiconductor Materials and Equipment,451,115,29,"28,521,000",TWD,[tech-100,semiconductors-25]
8386.TSE,The Hyakujushi Bank Ltd.,Japan,Regional Banks,518,492,28,"28,556,800",JPY,[],
2790.TSE,NAFCO Co. Ltd.,Japan,Home Improvement Retail,374,1386,29,"28,562,600",JPY,[consumer-50],
8890.TSE,Raysum Co. Ltd.,Japan,Diversified Real Estate Activities,646,530,29,"28,598,700",JPY,[],
3176.TSE,Sanyo Trading Co. Ltd.,Japan,Trading Companies and Distributors,264,854,29,"28,723,600",JPY,[],
2929.TSE,Pharma Foods International Co. Ltd.,Japan,Biotechnology,300,482,29,"28,784,400",JPY,[],
014620.KQ,Sung Kwang Bend Co.Ltd.,South Korea,Building Products,302,201,28,"28,828,500",KRW,[],
5451.TSE,Yodogawa Steel Works Ltd.,Japan,Steel,716,1478,29,"28,871,200",JPY,[],
1419.TSE,Tama Home Co. Ltd.,Japan,Homebuilding,707,1833,29,"28,988,400",JPY,[],
014820.KO,Dongwon Systems Corporation,South Korea,Metal Glass and Plastic Containers,646,1056,29,"28,991,300",KRW,[],
9946.TSE,MINISTOP Co. Ltd.,Japan,Food Retail,285,574,29,"29,009,800",JPY,[consumer-50],
7818.TSE,TRANSACTION CO.Ltd.,Japan,Household Products,366,160,29,"29,104,500",JPY,[consumer-50],
5011.TSE,Nichireki Co. Ltd.,Japan,Construction and Engineering,389,535,29,"29,194,200",JPY,[],
4449.TSE,giftee Inc.,Japan,Interactive Media and Services,282,42,29,"29,235,100",JPY,[consumer-50,entertainment-100]
6652.TSE,IDEC Corporation,Japan,Electrical Components and Equipment,592,566,29,"29,258,500",JPY,[],
010120.KO,LS ELECTRIC Co. Ltd.,South Korea,Electrical Components and Equipment,2024,2996,29,"29,356,000",KRW,[],
200130.KQ,Kolmar BNH Co. Ltd.,South Korea,Personal Care Products,358,427,29,"29,543,600",KRW,[consumer-50],
7516.TSE,Kohnan Shoji Co. Ltd.,Japan,Home Improvement Retail,788,3169,30,"29,566,000",JPY,[consumer-50],
2588.TSE,Premium Water HoldingsInc.,Japan,Soft Drinks and Non-alcoholic Beverages,557,540,30,"29,610,300",JPY,[consumer-50],
7942.TSE,JSP Corporation,Japan,Commodity Chemicals,406,918,30,"29,808,200",JPY,[],
2760.TSE,Tokyo Electron Device Limited,Japan,Technology Distributors,732,1720,30,"29,845,600",JPY,[],
9928.TSE,Miroku Jyoho Service Co. Ltd.,Japan,Application Software,330,292,30,"29,858,300",JPY,[tech-100],
9229.TSE,Sunwels Co.Ltd.,Japan,Health Care Facilities,543,107,30,"29,883,300",JPY,[],
3341.TSE,NIHON CHOUZAI Co.Ltd.,Japan,Drug Retail,294,2216,30,"29,914,300",JPY,[consumer-50],
8424.TSE,Fuyo General Lease Co. Ltd.,Japan,Specialized Finance,2474,4346,30,"29,984,200",JPY,[],
3561.TSE,Chikaranomoto Holdings Co.Ltd.,Japan,Restaurants,457,191,30,"30,029,600",JPY,[],
3156.TSE,Restar Holdings Corporation,Japan,Technology Distributors,496,3418,30,"30,068,100",JPY,[],
3036.TSE,ALCONIX Corporation,Japan,Trading Companies and Distributors,276,1203,30,"30,105,500",JPY,[],
7173.TSE,Tokyo Kiraboshi Financial Group Inc.,Japan,Regional Banks,951,843,30,"30,113,100",JPY,[],
9900.TSE,Sagami Holdings Corporation,Japan,Restaurants,268,189,30,"30,153,300",JPY,[],
010780.KO,IS DongSeo Co. Ltd.,South Korea,Construction and Engineering,639,1678,30,"30,187,000",KRW,[],
7172.TSE,Japan Investment Adviser Co. Ltd.,Japan,Specialized Finance,353,100,30,"30,190,800",JPY,[],
6960.TSE,Fukuda Denshi Co. Ltd.,Japan,Health Care Equipment,1118,942,30,"30,250,000",JPY,[],
7821.TSE,Maeda Kosen Co. Ltd.,Japan,Construction Materials,612,347,30,"30,359,100",JPY,[],
2763.TSE,FTGroup Co. Ltd.,Japan,Technology Distributors,265,272,31,"30,555,400",JPY,[],
432320.KO,KB STAR REIT Co. Ltd.,South Korea,Office REITs,266,-,101,"30,700,000",KRW,[],
6103.TSE,Okuma Corporation,Japan,Industrial Machinery and Supplies and Components,1374,1583,31,"30,804,100",JPY,[],
8566.TSE,Ricoh Leasing Company Ltd.,Japan,Specialized Finance,922,2075,31,"30,824,700",JPY,[],
003300.KO,Hanil Holdings Co. Ltd.,South Korea,Construction Materials,253,1716,31,"30,831,400",KRW,[],
8153.TSE,Mos Food Services Inc.,Japan,Restaurants,680,607,31,"30,840,900",JPY,[],
9902.TSE,NICHIDEN Corporation,Japan,Trading Companies and Distributors,517,905,31,"30,890,500",JPY,[],
2659.TSE,SAN-A CO.LTD.,Japan,Food Retail,992,1560,31,"30,903,600",JPY,[consumer-50],
6282.TSE,Oiles Corporation,Japan,Industrial Machinery and Supplies and Components,415,444,31,"30,957,000",JPY,[],
005070.KO,Cosmo Advanced Materials & Technology Co. Ltd.,South Korea,Technology Hardware Storage and Peripherals,3380,503,31,"30,967,800",KRW,[],
192400.KO,Cuckoo Holdings Co. Ltd.,South Korea,Household Appliances,412,570,31,"31,078,400",KRW,[],
3993.TSE,PKSHA Technology Inc.,Japan,Application Software,565,91,31,"31,116,600",JPY,[tech-100],
8360.TSE,The Yamanashi Chuo BankLtd.,Japan,Regional Banks,348,393,30,"31,121,000",JPY,[],
3549.TSE,Kusuri No Aoki Holdings Co. Ltd.,Japan,Consumer Staples Merchandise Retail,1834,2753,32,"31,532,000",JPY,[consumer-50],
6814.TSE,Furuno Electric Co. Ltd.,Japan,Electronic Equipment and Instruments,291,673,32,"31,563,700",JPY,[tech-100],
2292.TSE,S Foods Inc.,Japan,Packaged Foods and Meats,728,2911,32,"31,621,100",JPY,[],
1379.TSE,Hokuto Corporation,Japan,Agricultural Products and Services,388,513,32,"31,660,200",JPY,[],
8059.TSE,Daiichi Jitsugyo Co. Ltd.,Japan,Trading Companies and Distributors,394,1096,32,"31,676,300",JPY,[],
8367.TSE,The Nanto Bank Ltd.,Japan,Regional Banks,587,415,32,"31,752,700",JPY,[],
6080.TSE,M&A Capital Partners Co.Ltd.,Japan,Investment Banking and Brokerage,571,156,32,"31,758,600",JPY,[],
8198.TSE,Maxvalu Tokai Co.Ltd.,Japan,Food Retail,619,2538,32,"31,835,400",JPY,[consumer-50],
2815.TSE,ARIAKE JAPAN Co. Ltd.,Japan,Packaged Foods and Meats,1073,388,32,"31,849,700",JPY,[],
3844.TSE,Comture Corporation,Japan,IT Consulting and Other Services,494,210,32,"31,873,300",JPY,[],
7630.TSE,Ichibanya Co. Ltd.,Japan,Restaurants,1166,357,32,"31,905,000",JPY,[],
8344.TSE,The Yamagata Bank Ltd.,Japan,Regional Banks,252,299,32,"31,994,000",JPY,[],
7447.TSE,Nagaileben Co. Ltd.,Japan,Health Care Supplies,458,124,32,"32,104,300",JPY,[],
8155.TSE,Mimasu Semiconductor Industry Co. Ltd.,Japan,Semiconductor Materials and Equipment,595,651,32,"32,124,600",JPY,[tech-100,semiconductors-25]
4480.TSE,Medley Inc.,Japan,Health Care Technology,1062,124,32,"32,133,700",JPY,[],
9856.TSE,Ku Holdings Co.Ltd.,Japan,Automotive Retail,258,1081,32,"32,141,500",JPY,[consumer-50],
3687.TSE,Fixstars Corporation,Japan,Application Software,250,48,32,"32,143,000",JPY,[tech-100],
6809.TSE,TOA Corporation,Japan,Consumer Electronics,251,319,32,"32,166,000",JPY,[consumer-50],
2491.TSE,ValueCommerce Co. Ltd.,Japan,Advertising,279,223,32,"32,337,300",JPY,[],
5851.TSE,Ryobi Limited,Japan,Industrial Machinery and Supplies and Components,676,1838,32,"32,369,100",JPY,[],
6287.TSE,Sato Holdings Corporation,Japan,Office Services and Supplies,458,990,32,"32,389,200",JPY,[],
2602.TSE,The Nisshin OilliO GroupLtd.,Japan,Packaged Foods and Meats,933,3784,32,"32,410,600",JPY,[],
2109.TSE,Mitsui DM Sugar Holdings Co. Ltd.,Japan,Packaged Foods and Meats,676,1151,32,"32,423,800",JPY,[],
4369.TSE,Tri Chemical Laboratories Inc.,Japan,Semiconductor Materials and Equipment,676,91,33,"32,497,600",JPY,[tech-100,semiconductors-25]
4919.TSE,Milbon Co. Ltd.,Japan,Personal Care Products,924,321,33,"32,525,700",JPY,[consumer-50],
4080.TSE,Tanaka Chemical Corporation,Japan,Specialty Chemicals,284,384,33,"32,531,800",JPY,[],
6817.TSE,Sumida Corporation,Japan,Electronic Components,336,1035,33,"32,628,600",JPY,[tech-100],
6062.TSE,Charm Care Corporation,Japan,Health Care Services,254,262,33,"32,629,400",JPY,[],
2117.TSE,WELLNEO SUGAR Co. Ltd.,Japan,Packaged Foods and Meats,457,472,33,"32,761,000",JPY,[],
403550.KO,SOCAR Inc.,South Korea,Passenger Ground Transportation,293,325,33,"32,788,300",KRW,[consumer-50],
6510.TWO,Chunghwa Precision Test Tech. Co. Ltd.,Taiwan,Electronic Components,591,122,33,"32,789,000",TWD,[tech-100],
4212.TSE,Sekisui Jushi Corporation,Japan,Building Products,529,455,33,"32,810,800",JPY,[],
4526.TSE,Riken Vitamin Co. Ltd.,Japan,Packaged Foods and Meats,496,618,33,"32,812,100",JPY,[],
010690.KO,HWASHIN CO.Ltd,South Korea,Automotive Parts and Equipment,311,1417,33,"32,933,400",KRW,[],
2613.TSE,J-Oil Mills Inc.,Japan,Packaged Foods and Meats,398,1826,33,"33,075,900",JPY,[],
8141.TSE,Shinko Shoji Co. Ltd.,Japan,Technology Distributors,265,1267,33,"33,077,600",JPY,[],
6905.TSE,Cosel Co. Ltd.,Japan,Electrical Components and Equipment,278,262,33,"33,133,000",JPY,[],
8336.TSE,The Musashino Bank Ltd.,Japan,Regional Banks,639,532,33,"33,144,600",JPY,[],
3001.TSE,Katakura Industries Co.Ltd.,Japan,Industrial Conglomerates,389,261,33,"33,155,200",JPY,[],
8871.TSE,GOLDCREST Co.Ltd.,Japan,Real Estate Development,491,103,33,"33,235,200",JPY,[],
6413.TSE,Riso Kagaku Corporation,Japan,Technology Hardware Storage and Peripherals,522,513,33,"33,347,600",JPY,[],
1979.TSE,Taikisha Ltd.,Japan,Construction and Engineering,1009,1602,33,"33,355,800",JPY,[],
060280.KQ,Curexo Inc.,South Korea,Food Distributors,522,56,41,"33,357,300",KRW,[],
2004.TSE,Showa Sangyo Co. Ltd.,Japan,Packaged Foods and Meats,689,2380,33,"33,446,100",JPY,[],
6806.TSE,Hirose Electric Co.Ltd.,Japan,Electronic Components,3988,1225,34,"33,451,300",JPY,[tech-100],
4956.TSE,Konishi Co. Ltd.,Japan,Commodity Chemicals,526,882,33,"33,457,600",JPY,[],
8037.TSE,Kamei Corporation,Japan,Trading Companies and Distributors,341,3878,34,"33,600,300",JPY,[],
9869.TSE,Kato Sangyo Co. Ltd.,Japan,Food Distributors,911,7484,34,"33,625,000",JPY,[],
6463.TSE,TPR Co. Ltd.,Japan,Automotive Parts and Equipment,421,1268,34,"33,698,100",JPY,[],
012750.KO,S-1 Corporation,South Korea,Security and Alarm Services,1412,1923,34,"33,810,200",KRW,[],
453340.KO,Hyundai Green Food Co. Ltd,South Korea,Food Distributors,281,-,34,"33,880,900",KRW,[],
3612.TSE,World Co. Ltd.,Japan,Apparel Retail,371,1502,34,"33,971,000",JPY,[consumer-50],
011790.KO,SKC Co. Ltd.,South Korea,Commodity Chemicals,1904,2204,34,"34,005,200",KRW,[],
5988.TSE,PIOLAX Inc.,Japan,Automotive Parts and Equipment,537,412,34,"34,042,700",JPY,[],
068760.KQ,Celltrion Pharm Inc.,South Korea,Pharmaceuticals,1949,298,40,"34,052,500",KRW,[],
5946.TSE,Chofu Seisakusho Co. Ltd.,Japan,Household Appliances,483,344,34,"34,112,800",JPY,[],
4432.TSE,WingArc1st Inc.,Japan,Application Software,579,169,34,"34,139,300",JPY,[tech-100],
7483.TSE,Doshisha Co.Ltd.,Japan,Distributors,504,729,34,"34,140,900",JPY,[],
4928.TSE,Noevir Holdings Co. Ltd.,Japan,Personal Care Products,1226,430,34,"34,156,400",JPY,[consumer-50],
048410.KQ,Hyundai Bioscience Co. Ltd.,South Korea,Personal Care Products,864,8,40,"34,182,200",KRW,[consumer-50],
7239.TSE,TACHI-S Co. Ltd.,Japan,Automotive Parts and Equipment,402,1809,34,"34,245,800",JPY,[],
5232.TSE,Sumitomo Osaka Cement Co. Ltd.,Japan,Construction Materials,844,1466,34,"34,253,500",JPY,[],
1835.TSE,Totetsu Kogyo Co. Ltd.,Japan,Construction and Engineering,687,882,34,"34,425,300",JPY,[],
6222.TSE,Shima Seiki Mfg.Ltd.,Japan,Industrial Machinery and Supplies and Components,418,279,35,"34,515,000",JPY,[],
001680.KO,Daesang Corporation,South Korea,Packaged Foods and Meats,492,3086,36,"34,648,000",KRW,[],
8584.TSE,JACCS Co. Ltd.,Japan,Consumer Finance,1228,1230,35,"34,679,600",JPY,[consumer-50],
2653.TSE,Aeon Kyushu Co. Ltd.,Japan,Broadline Retail,556,3559,35,"34,757,000",JPY,[consumer-50],
6515.TW,WinWay Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,732,170,35,"34,784,000",TWD,[tech-100,semiconductors-25]
1762.TSE,Takamatsu Construction Group Co. Ltd.,Japan,Construction and Engineering,626,1990,35,"34,818,600",JPY,[],
6643.TWO,M31 Technology Corporation,Taiwan,Semiconductors,867,47,35,"34,865,800",TWD,[],
056190.KQ,SFA Engineering Corporation,South Korea,Industrial Machinery and Supplies and Components,794,1266,34,"34,930,000",KRW,[],
336370.KO,Solus Advanced Materials Co. Ltd.,South Korea,Electronic Components,805,344,45,"35,106,100",KRW,[tech-100],
9627.TSE,Ain Holdings Inc.,Japan,Drug Retail,1023,2617,35,"35,128,200",JPY,[consumer-50],
9729.TSE,TOKAI Corp.,Japan,Health Care Distributors,454,914,35,"35,227,300",JPY,[],
4368.TSE,Fuso Chemical Co.Ltd.,Japan,Specialty Chemicals,911,447,35,"35,243,500",JPY,[],
3284.TSE,Hoosiers Holdings Co. Ltd.,Japan,Homebuilding,264,604,36,"35,379,300",JPY,[],
1949.TSE,Sumitomo Densetsu Co.Ltd.,Japan,Construction and Engineering,662,1199,35,"35,405,800",JPY,[],
9055.TSE,Alps Logistics Co. Ltd.,Japan,Cargo Ground Transportation,376,831,35,"35,441,600",JPY,[],
005420.KO,Cosmo Chemical Co. Ltd.,South Korea,Commodity Chemicals,992,650,35,"35,476,300",KRW,[],
6914.TSE,OPTEX GROUP Company Limited,Japan,Electronic Equipment and Instruments,387,379,36,"35,525,000",JPY,[tech-100],
2729.TWO,TTFB Company Limited,Taiwan,Restaurants,272,171,36,"35,570,900",TWD,[],
4848.TSE,Fullcast Holdings Co. Ltd.,Japan,Human Resource and Employment Services,454,463,36,"35,630,700",JPY,[],
4534.TSE,Mochida Pharmaceutical Co. Ltd.,Japan,Pharmaceuticals,804,694,36,"35,649,300",JPY,[],
3097.TSE,The Monogatari Corporation,Japan,Restaurants,1009,638,36,"35,655,200",JPY,[],
7744.TSE,Noritsu Koki Co. Ltd.,Japan,Industrial Conglomerates,805,577,36,"35,657,500",JPY,[],
082270.KQ,GemVax&KAEL Co.Ltd.,South Korea,Semiconductor Materials and Equipment,354,57,39,"35,672,200",KRW,[tech-100,semiconductors-25]
7366.TSE,LITALICO Inc.,Japan,Education Services,471,177,36,"35,676,700",JPY,[consumer-50],
031430.KO,Shinsegae International Co. Ltd.,South Korea,Apparel Retail,494,1111,36,"35,700,000",KRW,[consumer-50],
001430.KO,SeAH Besteel Holdings Corporation,South Korea,Steel,651,3337,36,"35,862,100",KRW,[],
034310.KO,NICE Holdings Co. Ltd.,South Korea,Specialized Finance,338,2095,35,"35,923,200",KRW,[],
8803.TSE,Heiwa Real Estate Co. Ltd.,Japan,Diversified Real Estate Activities,959,292,36,"35,961,000",JPY,[],
001120.KO,LX International Corp.,South Korea,Trading Companies and Distributors,758,12119,36,"35,967,900",KRW,[],
3778.TSE,SAKURA Internet Inc.,Japan,Internet Services and Infrastructure,305,144,36,"35,982,900",JPY,[tech-100],
267260.KO,HD Hyundai Electric Co. Ltd.,South Korea,Heavy Electrical Equipment,1769,1840,36,"35,992,700",KRW,[],
151860.KQ,KG Eco Technology Services Co. Ltd.,South Korea,Independent Power Producers and Energy Traders,328,5084,36,"36,000,000",KRW,[],
7840.TSE,France Bed Holdings Co.Ltd.,Japan,Health Care Services,295,407,36,"36,020,000",JPY,[],
006040.KO,Dongwon Industries Co. Ltd.,South Korea,Packaged Foods and Meats,824,6905,36,"36,022,700",KRW,[],
017800.KO,Hyundai Elevator Co. Ltd,South Korea,Industrial Machinery and Supplies and Components,1243,1813,39,"36,028,300",KRW,[],
3661.TSE,m-up holdings Inc.,Japan,Application Software,294,114,36,"36,057,000",JPY,[tech-100],
9678.TSE,Kanamoto Co.Ltd.,Japan,Trading Companies and Distributors,652,1367,36,"36,060,500",JPY,[],
6584.TSE,Sanoh Industrial Co. Ltd.,Japan,Automotive Parts and Equipment,245,990,36,"36,066,500",JPY,[],
7380.TSE,Juroku Financial GroupInc.,Japan,Regional Banks,943,751,36,"36,120,600",JPY,[],
7943.TSE,Nichiha Corporation,Japan,Building Products,717,960,36,"36,229,500",JPY,[],
271940.KO,Iljin Hysolus Co. Ltd.,South Korea,Automotive Parts and Equipment,606,73,36,"36,313,200",KRW,[],
3110.TSE,Nitto Boseki Co. Ltd.,Japan,Building Products,865,581,36,"36,409,600",JPY,[],
1898.TSE,Seikitokyu Kogyo Co. Ltd.,Japan,Construction and Engineering,400,624,36,"36,448,000",JPY,[],
6371.TSE,Tsubakimoto Chain Co.,Japan,Industrial Machinery and Supplies and Components,956,1768,37,"36,476,200",JPY,[],
3182.TSE,Oisix ra daichi Inc.,Japan,Food Retail,397,806,37,"36,558,100",JPY,[consumer-50],
089860.KO,LOTTE rental co.ltd.,South Korea,Passenger Ground Transportation,727,2139,37,"36,634,100",KRW,[consumer-50],
032190.KQ,Daou Data Corp.,South Korea,Investment Banking and Brokerage,362,8076,38,"36,674,100",KRW,[],
3491.TSE,GA technologies Co. Ltd.,Japan,Interactive Media and Services,286,949,37,"36,745,800",JPY,[consumer-50,entertainment-100]
8227.TSE,SHIMAMURA Co. Ltd.,Japan,Apparel Retail,3638,4543,37,"36,752,000",JPY,[consumer-50],
017810.KO,Pulmuone Corporate,South Korea,Packaged Foods and Meats,299,2253,37,"36,770,800",KRW,[],
5726.TSE,OSAKA Titanium technologies Co.Ltd.,Japan,Diversified Metals and Mining,764,324,37,"36,798,500",JPY,[],
1833.TSE,Okumura Corporation,Japan,Construction and Engineering,1127,1822,37,"36,804,900",JPY,[],
5976.TSE,Neturen Co. Ltd.,Japan,Steel,250,398,37,"36,877,200",JPY,[],
003540.KO,Daishin Securities Co.Ltd,South Korea,Investment Banking and Brokerage,681,2065,66,"36,939,900",KRW,[],
9536.TSE,Saibu Gas Holdings Co.Ltd.,Japan,Gas Utilities,491,1886,37,"37,026,600",JPY,[],
1264.TWO,Tehmag Foods Corporation,Taiwan,Packaged Foods and Meats,330,181,37,"37,052,000",TWD,[],
4189.TSE,KH Neochem Co. Ltd.,Japan,Commodity Chemicals,574,830,37,"37,063,500",JPY,[],
103590.KO,Iljin Electric Co.Ltd,South Korea,Electrical Components and Equipment,355,893,37,"37,072,300",KRW,[],
6999.TSE,KOA Corporation,Japan,Electronic Components,445,508,37,"37,075,100",JPY,[tech-100],
7463.TSE,Advan Group Co. Ltd.,Japan,Trading Companies and Distributors,260,146,37,"37,083,800",JPY,[],
008770.KO,Hotel Shilla Co.Ltd,South Korea,Other Specialty Retail,2348,3250,38,"37,113,100",KRW,[],
3034.TSE,Qol Holdings Co. Ltd.,Japan,Drug Retail,465,1196,37,"37,125,200",JPY,[consumer-50],
5715.TSE,Furukawa Co.Ltd.,Japan,Industrial Machinery and Supplies and Components,432,1446,37,"37,190,200",JPY,[],
7718.TSE,Star Micronics Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,470,630,37,"37,215,300",JPY,[],
204620.KQ,Global Tax Free Co. Ltd.,South Korea,Research and Consulting Services,280,54,56,"37,254,200",KRW,[],
4521.TSE,Kaken Pharmaceutical Co. Ltd.,Japan,Pharmaceuticals,884,505,38,"37,473,000",JPY,[],
9715.TSE,transcosmos inc.,Japan,Data Processing and Outsourced Services,800,2556,38,"37,473,100",JPY,[],
056080.KQ,Yujin Robot Co. Ltd.,South Korea,Leisure Products,372,30,38,"37,512,200",KRW,[consumer-50],
7279.TSE,Hi-Lex Corporation,Japan,Automotive Parts and Equipment,402,2056,38,"37,514,800",JPY,[],
8708.TSE,Aizawa Securities Group Co. Ltd.,Japan,Investment Banking and Brokerage,258,97,38,"37,555,500",JPY,[],
3836.TSE,Avant Group Corporation,Japan,IT Consulting and Other Services,329,148,38,"37,642,900",JPY,[],
375500.KO,DL E&C Co.Ltd.,South Korea,Construction and Engineering,924,6018,42,"37,706,400",KRW,[],
7816.TSE,Snow Peak Inc.,Japan,Leisure Products,307,195,38,"37,808,400",JPY,[consumer-50],
5274.TWO,ASPEED Technology Inc.,Taiwan,Semiconductors,3248,128,38,"37,821,000",TWD,[],
6651.TSE,Nitto Kogyo Corporation,Japan,Electrical Components and Equipment,955,1041,38,"37,931,100",JPY,[],
7611.TSE,Hiday Hidaka Corp.,Japan,Restaurants,701,296,38,"37,975,800",JPY,[],
052690.KO,KEPCO Engineering & Construction Company Inc.,South Korea,Construction and Engineering,1805,403,38,"38,043,500",KRW,[],
4053.TSE,Sun* Inc.,Japan,IT Consulting and Other Services,355,81,38,"38,055,800",JPY,[],
4326.TSE,INTAGE HOLDINGS Inc.,Japan,Advertising,569,425,38,"38,073,200",JPY,[],
4028.TSE,Ishihara Sangyo KaishaLtd.,Japan,Diversified Chemicals,385,937,38,"38,140,900",JPY,[],
7226.TSE,Kyokuto Kaihatsu Kogyo Co.Ltd.,Japan,Construction Machinery and Heavy Transportation Equipment,454,800,38,"38,250,500",JPY,[],
8920.TSE,Tosho Co. Ltd.,Japan,Leisure Facilities,288,162,38,"38,307,000",JPY,[consumer-50],
