symbol,name,country,industry,shares,currency,indicies
2630.TW,Air Asia Co. Ltd.,Taiwan,Aerospace and Defense,"208,359,008",TWD,[]
4088.TSE,Air Water Inc.,Japan,Industrial Gases,"227,352,000",JPY,[]
6526.TWO,Airoha Technology Corp.,Taiwan,Semiconductors,"145,505,703",TWD,[]
6191.TSE,AirTrip Corp.,Japan,Hotels Resorts and Cruise Lines,"22,367,200",JPY,[]
7283.TSE,Aisan Industry Co. Ltd.,Japan,Automotive Parts and Equipment,"62,592,500",JPY,[]
9381.TSE,AIT Corporation,Japan,Air Freight and Logistics,"23,493,600",JPY,[]
8708.TSE,Aizawa Securities Group Co. Ltd.,Japan,Investment Banking and Brokerage,"37,555,500",JPY,[]
6785.TWO,Alar Pharmaceuticals Inc.,Taiwan,Pharmaceuticals,"57,000,000",TWD,[]
3036.TSE,ALCONIX Corporation,Japan,Trading Companies and Distributors,"30,105,500",JPY,[]
8478.TW,Alexander Marine Co. Ltd.,Taiwan,Leisure Products,"87,972,000",TWD,[consumer-50]
2784.TSE,Alfresa Holdings Corporation,Japan,Health Care Distributors,"190,636,000",JPY,[]
6187.TWO,All Ring Tech Co. Ltd.,Taiwan,Electronic Equipment and Instruments,"80,556,000",TWD,[tech-100]
8155.TWO,Allied Circuit Co. Ltd.,Taiwan,Electronic Components,"51,221,000",TWD,[tech-100]
4770.TW,Allied Supreme Corp.,Taiwan,Specialty Chemicals,"79,536,000",TWD,[]
1514.TW,Allis Electric Co.Ltd.,Taiwan,Electrical Components and Equipment,"244,034,000",TWD,[]
3209.TW,Alltek Technology Corporation,Taiwan,Technology Distributors,"230,028,992",TWD,[]
3526.TWO,Alltop Technology Co. Ltd.,Taiwan,Electronic Components,"58,998,000",TWD,[tech-100]
354320.KQ,ALMAC Co. Ltd.,South Korea,Automotive Parts and Equipment,"6,391,381",KRW,[]
3028.TSE,Alpen Co.Ltd.,Japan,Other Specialty Retail,"38,533,300",JPY,[]
3380.TW,Alpha Networks Inc.,Taiwan,Communications Equipment,"541,718,976",TWD,[tech-100]
4719.TSE,Alpha Systems Inc.,Japan,Systems Software,"14,039,200",JPY,[tech-100]
6770.TSE,Alps Alpine Co. Ltd.,Japan,Electronic Components,"205,479,008",JPY,[tech-100]
9055.TSE,Alps Logistics Co. Ltd.,Japan,Cargo Ground Transportation,"35,441,600",JPY,[]
4641.TSE,Altech Corporation,Japan,Human Resource and Employment Services,"19,872,700",JPY,[]
3059.TW,Altek Corporation,Taiwan,Consumer Electronics,"274,620,000",TWD,[consumer-50]
196170.KQ,ALTEOGEN Inc.,South Korea,Biotechnology,"51,770,806",KRW,[]
001780.KO,Aluko Co. Ltd.,South Korea,Building Products,"96,414,332",KRW,[]
6113.TSE,Amada Co. Ltd.,Japan,Industrial Machinery and Supplies and Components,"343,828,992",JPY,[]
6436.TSE,Amano Corporation,Japan,Electronic Equipment and Instruments,"71,975,600",JPY,[tech-100]
6411.TWO,Amazing Microelectronic Corp.,Taiwan,Semiconductors,"98,266,600",TWD,[]
5233.TWO,Amita Technologies Inc.,Taiwan,Electrical Components and Equipment,"277,249,406",TWD,[]
002790.KO,AMOREPACIFIC Group,South Korea,Personal Care Products,"82,458,180",KRW,[consumer-50]
2493.TW,Ampoc Far-East Co. Ltd.,Taiwan,Semiconductors,"114,437,000",TWD,[]
2489.TW,AmTRAN Technology Co.Ltd,Taiwan,Consumer Electronics,"740,099,968",TWD,[consumer-50]
7071.TSE,Amvis Holdings Inc.,Japan,Health Care Facilities,"97,997,296",JPY,[]
6291.TWO,Analog Integrations Corporation,Taiwan,Semiconductors,"42,000,000",TWD,[]
025980.KQ,Ananti Inc.,South Korea,Leisure Facilities,"91,131,365",KRW,[consumer-50]
6533.TW,Andes Technology Corporation,Taiwan,Semiconductors,"50,651,000",TWD,[]
6381.TSE,ANEST IWATA Corporation,Japan,Industrial Machinery and Supplies and Components,"40,466,900",JPY,[]
8715.TSE,Anicom Holdings Inc.,Japan,Property and Casualty Insurance,"80,016,704",JPY,[]
6138.TWO,Anpec Electronics Corporation,Taiwan,Semiconductors,"73,786,200",TWD,[]
6754.TSE,Anritsu Corporation,Japan,Electronic Equipment and Instruments,"131,671,000",JPY,[tech-100]
5032.TSE,ANYCOLOR Inc.,Japan,Movies and Entertainment,"62,321,200",JPY,[entertainment-100]
5027.TSE,AnyMind Group Inc.,Japan,Application Software,"57,938,600",JPY,[tech-100]
8214.TSE,AOKI Holdings Inc.,Japan,Apparel Retail,"83,902,496",JPY,[consumer-50]
8219.TSE,Aoyama Trading Co. Ltd.,Japan,Apparel Retail,"49,842,800",JPY,[consumer-50]
8304.TSE,Aozora Bank Ltd.,Japan,Diversified Banks,"116,781,000",JPY,[]
6531.TW,AP Memory Technology Corporation,Taiwan,Semiconductors,"161,858,000",TWD,[]
4583.TW,Apex Dynamics Inc.,Taiwan,Industrial Machinery and Supplies and Components,"80,171,400",TWD,[]
4180.TSE,Appier Group Inc.,Japan,Application Software,"101,721,000",JPY,[tech-100]
