symbol,name,country,cap,shares,currency,
2002.TSE,Nisshin Seifun Group,Japan,Mid Cap,297379008,JPY,
9914.TW,Merida Industry,Taiwan,Small Cap,298984000,TWD,
3092.TSE,ZOZO,Japan,Mid Cap,299856992,JPY,
PKX,POSCO,South Korea,Blue Chip,303504992,USD,
9983.TSE,Fast Retailing,Japan,Blue Chip,306652000,JPY,
2587.TSE,Suntory,Japan,Blue Chip,309000000,JPY,
1860.TSE,TODA corp,Japan,Small Cap,309926016,JPY,
6201.TSE,Toyota Industries,Japan,Blue Chip,310479008,JPY,
9719.TSE,SCSK Corporation,Japan,Mid Cap,312300000,JPY,
3635.TSE,Koei Tecmo,Japan,Mid Cap,315369984,JPY,
6789.TW,VisEra Technologies,Taiwan,Mid Cap,315776992,TWD,
7276.TSE,Koito Manufacturing,Japan,Mid Cap,321492992,JPY,
7911.TSE,Toppan,Japan,Mid Cap,326420000,JPY,
8630.TSE,Sompo Holdings,Japan,Blue Chip,332776992,JPY,
7272.TSE,Yamaha Motor,Japan,Mid Cap,334643008,JPY,
7011.TSE,Mitsubishi Heavy Industries,Japan,Blue Chip,335704992,JPY,
NINOY,Nikon,Japan,Mid Cap,347696000,USD,
8015.TSE,Toyota Tsusho,Japan,Blue Chip,351864992,JPY,
6971.TSE,Kyocera,Japan,Blue Chip,353107008,JPY,
7741.TSE,Hoya,Japan,Blue Chip,353572000,JPY,
9064.TSE,Yamato Holdings,Japan,Mid Cap,359116000,JPY,
9104.TSE,Mitsui O.S.K. Lines,Japan,Mid Cap,361750016,JPY,
9007.TSE,Odakyu Electric Railway,Japan,Mid Cap,363379008,JPY,
8309.TSE,Sumitomo Mitsui Trust Holdings,Japan,Blue Chip,363712992,JPY,
7181.TSE,Japan Post Insurance,Japan,Mid Cap,366204000,JPY,
4536.TSE,Santen Pharmaceutical,Japan,Mid Cap,369918016,JPY,
9020.TSE,East Japan Railway,Japan,Blue Chip,376639008,JPY,
6383.TSE,Daifuku,Japan,Mid Cap,378056992,JPY,
6762.TSE,TDK,Japan,Blue Chip,379281984,JPY,
3099.TSE,Isetan Mitsukoshi Holdings,Japan,Mid Cap,381911008,JPY,
KB,KB Financial Group,South Korea,Blue Chip,384248000,USD,
3532.TW,Formosa Sumco Technology,Taiwan,Mid Cap,387848000,TWD,
SKM,SK Telecom,South Korea,Mid Cap,393644992,USD,
000270.KO,Kia,South Korea,Blue Chip,395081984,KRW,
4506.TSE,Sumitomo Dainippon Pharma,Japan,Small Cap,397292000,JPY,
4911.TSE,Shiseido,Japan,Blue Chip,399548000,JPY,
4901.TSE,Fujifilm,Japan,Blue Chip,401097984,JPY,
6479.TSE,MinebeaMitsumi,Japan,Mid Cap,408380992,JPY,
9532.TSE,Osaka Gas,Japan,Mid Cap,415680000,JPY,
2327.TW,Yageo,Taiwan,Mid Cap,417468000,TWD,
3105.TWO,WIN Semiconductors,Taiwan,Mid Cap,423940000,TWD,
9531.TSE,Tōkyō Gas,Japan,Mid Cap,425406016,JPY,
4204.TSE,Sekisui Chemical,Japan,Mid Cap,426539008,JPY,
4091.TSE,Nippon Sanso,Japan,Mid Cap,432860992,JPY,
6502.TSE,Toshiba,Japan,Blue Chip,432886016,JPY,
6488.TWO,GlobalWafers,Taiwan,Mid Cap,435236992,TWD,
9201.TSE,Japan Airlines,Japan,Mid Cap,437007008,JPY,
035720.KO,Kakao,South Korea,Blue Chip,444983008,KRW,
4452.TSE,Kaō,Japan,Blue Chip,464833984,JPY,
8035.TSE,Tokyo Electron,Japan,Blue Chip,466875008,JPY,
9202.TSE,ANA Holdings,Japan,Blue Chip,470462016,JPY,
8830.TSE,Sumitomo Realty & Development,Japan,Blue Chip,473939008,JPY,
323410.KO,KakaoBank,South Korea,Mid Cap,476235008,KRW,
1812.TSE,Kajima,Japan,Mid Cap,482124992,JPY,
7269.TSE,Suzuki Motor,Japan,Blue Chip,485097984,JPY,
