id,symbol,name,currency,country,shares,cap_index,indicies
938,6963.TSE,Rohm,JPY,Japan,98142600,Mid Cap,"[tech-100]"
968,6981.TSE,Murata Manufacturing (Murata Seisakusho),JPY,Japan,629724032,Blue Chip,"[tech-100]"
755,7060.TSE,geechs,JPY,Japan,10021200,Micro Cap,"[video-75,entertainment-100,tech-100]"
955,7701.TSE,Shimadzu,JPY,Japan,294671008,Mid Cap,"[tech-100]"
958,7731.TSE,Nikon,JPY,Japan,346172992,Mid Cap,"[tech-100]"
954,7747.TSE,Asahi Intecc,JPY,Japan,271625984,Mid Cap,"[tech-100]"
976,7751.TSE,Canon,JPY,Japan,999128000,Blue Chip,"[tech-100]"
758,7832.TSE,Bandai Namco,JPY,Japan,660049984,Blue Chip,"[video-75,entertainment-100,tech-100]"
759,7844.TSE,Marvelous,JPY,Japan,60468600,Small Cap,"[video-75,entertainment-100,tech-100]"
760,7974.TSE,Nintendo,JPY,Japan,1164230016,Blue Chip,"[video-75,entertainment-100,tech-100]"
963,8035.TSE,Tokyo Electron,JPY,Japan,466875008,Blue Chip,"[tech-100]"
969,8046.TW,Nan Ya PCB,TWD,Taiwan,646166016,Mid Cap,"[tech-100]"
972,8150.TW,ChipMOS Technologies,TWD,Taiwan,727240000,Small Cap,"[tech-100]"
951,8454.TW,momo.com Inc.,TWD,Taiwan,218491008,Mid Cap,"[tech-100]"
761,9421.TSE,NJ Holdings,JPY,Japan,5292850,Micro Cap,"[video-75,tech-100]"
765,9766.TSE,Konami Holdings,JPY,Japan,135559008,Mid Cap,"[video-75,entertainment-100,tech-100]"
979,CPNG,Coupang,USD,South Korea,1604060032,Blue Chip,"[tech-100]"
934,GRRR,Gorilla Technology,USD,Taiwan,67601504,Micro Cap,"[tech-100]"
948,HIMX,Himax,USD,Taiwan,174400000,Small Cap,"[tech-100]"
939,PERF,Perfect Corp.,USD,Taiwan,101475000,Small Cap,"[tech-100]"
