symbol,name,country,industry,shares,currency,indicies
3682.TW,Asia Pacific Telecom Co. Ltd.,Taiwan,Integrated Telecommunication Services,4215780096,TWD,[]
002310.KO,Asia Paper Manufacturing.Co.Ltd,South Korea,Paper Products,8956502,KRW,[]
1308.TW,Asia Polymer Corporation,Taiwan,Commodity Chemicals,593742976,TWD,[]
3017.TW,Asia Vital Components Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,383310016,TWD,[]
4886.TSE,ASKA Pharmaceutical Holdings Co.Ltd.,Japan,Pharmaceuticals,28283200,JPY,[]
5269.TW,ASMedia Technology Inc.,Taiwan,Semiconductors,69363504,TWD,[]
5274.TWO,ASPEED Technology Inc.,Taiwan,Semiconductors,37821000,TWD,[]
3515.TW,ASROCK Incorporation,Taiwan,Technology Hardware Storage and Peripherals,121980000,TWD,[]
6277.TW,Aten International Co. Ltd,Taiwan,Technology Hardware Storage and Peripherals,119471000,TWD,[]
7412.TSE,ATOM Corporation,Japan,Restaurants,193106000,JPY,[]
3964.TSE,Aucnet Inc.,Japan,Specialized Consumer Services,23732200,JPY,[]
3324.TWO,Auras Technology Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,86094096,TWD,[]
2373.TW,Aurora Corporation,Taiwan,Technology Distributors,223706000,TWD,[]
3836.TSE,Avant Group Corporation,Japan,IT Consulting and Other Services,37642900,JPY,[]
9090.TSE,AZ-COM MARUWA Holdings Inc.,Japan,Air Freight and Logistics,125850000,JPY,[]
3496.TSE,Azoom Co.Ltd,Japan,Real Estate Services,5952060,JPY,[]
2268.TSE,B-R 31 Ice Cream Co.Ltd.,Japan,Restaurants,9635880,JPY,[]
5195.TSE,Bando Chemical Industries Ltd.,Japan,Industrial Machinery and Supplies and Components,43759000,JPY,[]
2836.TW,Bank of Kaohsiung Co. Ltd.,Taiwan,Regional Banks,1234300032,TWD,[]
8399.TSE,Bank of The Ryukyus Limited,Japan,Regional Banks,41549500,JPY,[]
4481.TSE,Base Co. Ltd.,Japan,IT Consulting and Other Services,18199900,JPY,[]
2936.TSE,BASE FOOD Inc.,Japan,Packaged Foods and Meats,52505900,JPY,[]
4413.TSE,baudroieinc.,Japan,IT Consulting and Other Services,7924300,JPY,[]
6532.TSE,BayCurrent Consulting Inc.,Japan,Research and Consulting Services,153240000,JPY,[]
6183.TSE,BELLSYSTEM24 Holdings Inc.,Japan,Data Processing and Outsourced Services,73561600,JPY,[]
2412.TSE,Benefit One Inc.,Japan,Human Resource and Employment Services,158392992,JPY,[]
2515.TW,BES Engineering Corporation,Taiwan,Construction and Engineering,1530899968,TWD,[]
027410.KO,BGF Co. Ltd.,South Korea,Industrial Conglomerates,95716791,KRW,[]
005180.KO,Binggrae Co. Ltd.,South Korea,Packaged Foods and Meats,9851241,KRW,[]
314930.KQ,Biodyne Co. Ltd.,South Korea,Health Care Equipment,6182695,KRW,[]
064550.KQ,Bioneer Corporation,South Korea,Biotechnology,25810291,KRW,[]
377740.KO,BioNote Inc.,South Korea,Biotechnology,102056048,KRW,[]
099430.KQ,BioPlus Co. Ltd.,South Korea,Health Care Supplies,57930864,KRW,[]
8056.TSE,BIPROGY Inc.,Japan,IT Consulting and Other Services,100503000,JPY,[]
3665.TW,Bizlink Holding Inc.,Taiwan,Electrical Components and Equipment,163126000,TWD,[]
138930.KO,BNK Financial Group Inc.,South Korea,Regional Banks,322088438,KRW,[]
206640.KQ,Boditech Med Inc.,South Korea,Health Care Equipment,23486560,KRW,[]
6472.TWO,Bora Pharmaceuticals Co. LTD.,Taiwan,Pharmaceuticals,100524000,TWD,[]
003850.KO,Boryung Corporation,South Korea,Pharmaceuticals,68690000,KRW,[]
2208.TSE,Bourbon Corporation,Japan,Packaged Foods and Meats,24024400,JPY,[]
8415.TWO,Brighton-Best International (Taiwan) Inc.,Taiwan,Trading Companies and Distributors,1022520000,TWD,[]
6885.TWO,BRIM Biotechnology Inc.,Taiwan,Biotechnology,115754000,TWD,[]
3091.TSE,BRONCO BILLY Co.LTD.,Japan,Restaurants,14856400,JPY,[]
6448.TSE,Brother Industries Ltd.,Japan,Technology Hardware Storage and Peripherals,255584000,JPY,[]
003000.KO,Bukwang Pharmaceutical Co. Ltd.,South Korea,Pharmaceuticals,71063049,KRW,[]
5930.TSE,Bunka Shutter Co. Ltd.,Japan,Building Products,71154896,JPY,[]
4828.TSE,Business Engineering Corporation,Japan,IT Consulting and Other Services,11999800,JPY,[]
3540.TSE,C.I. Medical Co.Ltd.,Japan,Health Care Distributors,9999860,JPY,[]
4215.TSE,C.I.TAKIRON Corporation,Japan,Commodity Chemicals,97282704,JPY,[]
4966.TSE,C.Uyemura & Co.Ltd.,Japan,Specialty Chemicals,16176300,JPY,[]
2229.TSE,Calbee Inc.,Japan,Packaged Foods and Meats,124925000,JPY,[]
6919.TWO,Caliway Biopharmaceuticals Co. Ltd.,Taiwan,Pharmaceuticals,61554893,TWD,[]
016790.KQ,CANARIABIO Inc.,South Korea,Agricultural Products and Services,172793805,KRW,[]
8060.TSE,Canon Marketing Japan Inc.,Japan,Technology Distributors,129676000,JPY,[]
6024.TW,Capital Futures Corporation,Taiwan,Investment Banking and Brokerage,210438000,TWD,[]
6005.TW,Capital Securities Corporation,Taiwan,Investment Banking and Brokerage,2170909952,TWD,[]
214370.KQ,Caregen Co. Ltd.,South Korea,Pharmaceuticals,53715000,KRW,[]
2150.TSE,CareNet Inc.,Japan,Health Care Technology,44564300,JPY,[]
2474.TW,Catcher Technology Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,680364032,TWD,[]
4880.TSE,CellSource Co. Ltd.,Japan,Life Sciences Tools and Services,19055100,JPY,[]
091990.KQ,Celltrion Healthcare Co. Ltd.,South Korea,Health Care Distributors,164464724,KRW,[]
068760.KQ,Celltrion Pharm Inc.,South Korea,Pharmaceuticals,39610243,KRW,[]
4123.TWO,Center Laboratories Inc.,Taiwan,Pharmaceuticals,594755968,TWD,[]
8117.TSE,Central Automotive Products Ltd.,Japan,Distributors,18381700,JPY,[]
4044.TSE,Central Glass Co. Ltd.,Japan,Building Products,24780200,JPY,[]
2851.TW,Central Reinsurance Corporation,Taiwan,Reinsurance,800388992,TWD,[]
9740.TSE,Central Security Patrols Co. Ltd.,Japan,Security and Alarm Services,14590100,JPY,[]
9958.TW,Century Iron and Steel Industrial Co.Ltd.,Taiwan,Steel,233296992,TWD,[]
2072.TWO,Century Wind Power Co. Ltd.,Taiwan,Construction and Engineering,120000000,TWD,[]
085660.KQ,CHA Biotech Co. Ltd.,South Korea,Health Care Facilities,56314443,KRW,[]
8070.TW,Chang Wah Electromaterials Inc.,Taiwan,Technology Distributors,673372992,TWD,[]
3962.TSE,CHANGE HoldingsInc.,Japan,IT Consulting and Other Services,72355400,JPY,[]
6062.TSE,Charm Care Corporation,Japan,Health Care Services,32629400,JPY,[]
1215.TW,Charoen Pokphand Enterprise (Taiwan) Co. Ltd.,Taiwan,Packaged Foods and Meats,294791008,TWD,[]
4164.TW,CHC Healthcare Group,Taiwan,Health Care Distributors,164967008,TWD,[]
9930.TW,CHC Resources Corporation,Taiwan,Construction Materials,248540000,TWD,[]
030000.KO,Cheil Worldwide Inc.,South Korea,Advertising,115041225,KRW,[]
8210.TW,Chenbro Micom Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,120607000,TWD,[]
1904.TW,Cheng Loong Corporation,Taiwan,Paper and Plastic Packaging Products and Materials,1108269952,TWD,[]
2105.TW,Cheng Shin Rubber Ind. Co. Ltd.,Taiwan,Tires and Rubber,3241420032,TWD,[]
3013.TW,Chenming Electronic Tech. Corp.,Taiwan,Technology Hardware Storage and Peripherals,195935008,TWD,[]
033100.KQ,Cheryong Electric Co.Ltd.,South Korea,Electrical Components and Equipment,16062409,KRW,[]
1103.TW,Chia Hsin Cement Corporation,Taiwan,Construction Materials,658894016,TWD,[]
2385.TW,Chicony Electronics Co. Ltd.,Taiwan,Technology Hardware Storage and Peripherals,722689984,TWD,[]
6412.TW,Chicony Power Technology Co. Ltd.,Taiwan,Electrical Components and Equipment,399040992,TWD,[]
6561.TWO,Chief Telecom Inc.,Taiwan,Alternative Carriers,77819400,TWD,[]
3561.TSE,Chikaranomoto Holdings Co.Ltd.,Japan,Restaurants,30029600,JPY,[]
2820.TW,China Bills Finance Corporation,Taiwan,Investment Banking and Brokerage,1342960000,TWD,[]
1305.TW,China General Plastics Corporation,Taiwan,Commodity Chemicals,581049984,TWD,[]
1718.TW,China Man-Made Fiber Corporation,Taiwan,Commodity Chemicals,1341680000,TWD,[]
1532.TW,China Metal Products Co. Ltd.,Taiwan,Steel,376124992,TWD,[]
2204.TW,China Motor Corporation,Taiwan,Automobile Manufacturers,553619968,TWD,[]
1314.TW,China Petrochemical Development Corporation,Taiwan,Commodity Chemicals,3784849920,TWD,[]
1723.TW,China Steel Chemical Corporation,Taiwan,Specialty Chemicals,232150000,TWD,[]
2002.TW,China Steel Corporation,Taiwan,Steel,15414700032,TWD,[]
2013.TW,China Steel Structure Co. Ltd.,Taiwan,Construction and Engineering,200000000,TWD,[]
2612.TW,Chinese Maritime Transport Ltd.,Taiwan,Marine Transportation,197484992,TWD,[]
6147.TWO,Chipbond Technology Corporation,Taiwan,Semiconductors,738675968,TWD,[]
6366.TSE,Chiyoda Corporation,Japan,Construction and Engineering,258972000,JPY,[]
6586.TWO,CHO Pharma Inc.,Taiwan,Pharmaceuticals,183993500,TWD,[]
5946.TSE,Chofu Seisakusho Co. Ltd.,Japan,Household Appliances,34112800,JPY,[]
5534.TW,Chong Hong Construction Co. Ltd.,Taiwan,Diversified Real Estate Activities,290326016,TWD,[]
185750.KO,Chong Kun Dang Pharmaceutical Corp.,South Korea,Pharmaceuticals,12568464,KRW,[]
8014.TSE,Chori Co. Ltd.,Japan,Trading Companies and Distributors,24607000,JPY,[]
5461.TSE,Chubu Steel Plate Co. Ltd.,Japan,Steel,30200000,JPY,[]
1941.TSE,Chudenko Corporation,Japan,Construction and Engineering,54793100,JPY,[]
5832.TSE,Chugin Financial GroupInc.,Japan,Regional Banks,183760000,JPY,[]
4617.TSE,Chugoku Marine Paints Ltd.,Japan,Specialty Chemicals,49554000,JPY,[]
