symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
218410.KQ,RFHIC Corporation ,South Korea,Semiconductors,293,88,26,23442900,KRW,"[]"
6517.TSE,Denyo Co. Ltd. ,Japan,Electrical Components and Equipment,292,473,21,21437200,JPY,"[]"
2489.TW,AmTRAN Technology Co.Ltd ,Taiwan,Consumer Electronics,289,469,780,740099968,TWD,"[consumer-50]"
036810.KQ,Fine Semitech Corp. ,South Korea,Semiconductor Materials and Equipment,288,172,20,18238900,KRW,"[tech-100,semiconductors-25]"
6187.TWO,All Ring Tech Co. Ltd. ,Taiwan,Electronic Equipment and Instruments,286,44,82,80556000,TWD,"[tech-100]"
119860.KQ,Connectwave Co. Ltd. ,South Korea,Interactive Media and Services,285,366,38,13074800,KRW,"[consumer-50,entertainment-100]"
9534.TSE,Hokkaido Gas Co. Ltd. ,Japan,Gas Utilities,283,1261,18,17618000,JPY,"[]"
4365.TSE,Matsumoto Yushi-Seiyaku Co.Ltd. ,Japan,Specialty Chemicals,282,274,3,2901740,JPY,"[]"
286940.KO,Lotte Data Communication Company ,South Korea,IT Consulting and Other Services,277,855,15,15129400,KRW,"[]"
6197.TW,Jess-link Products Co. Ltd. ,Taiwan,Technology Hardware Storage and Peripherals,276,144,122,122086000,TWD,"[]"
001820.KO,SAMWHA CAPACITOR Co.LTD ,South Korea,Electronic Components,273,206,10,10261000,KRW,"[tech-100]"
3431.TSE,Miyaji Engineering GroupInc. ,Japan,Construction and Engineering,272,440,14,13610900,JPY,"[]"
4719.TSE,Alpha Systems Inc. ,Japan,Systems Software,268,246,14,14039200,JPY,"[tech-100]"
2150.TSE,CareNet Inc. ,Japan,Health Care Technology,264,70,45,44564300,JPY,"[]"
1310.TW,Taiwan Styrene Monomer Corporation ,Taiwan,Commodity Chemicals,264,325,528,527870016,TWD,"[]"
033500.KQ,Dongsung FineTec Co. Ltd. ,South Korea,Specialty Chemicals,261,370,29,26983600,KRW,"[]"
8033.TW,Thunder Tiger Corp. ,Taiwan,Leisure Products,260,35,143,142630000,TWD,"[consumer-50]"
2471.TSE,S-Pool Inc. ,Japan,Human Resource and Employment Services,258,187,79,79003600,JPY,"[]"
042600.KQ,Seronics Co. Ltd. ,South Korea,Electronic Components,257,156,12,12231600,KRW,"[tech-100]"
9470.TSE,Gakken Holdings Co. Ltd. ,Japan,Publishing,257,1095,44,43949200,JPY,"[]"
8028.TW,Phoenix Silicon International Corporation ,Taiwan,Semiconductors,249,111,153,152628000,TWD,"[]"
004690.KO,Samchully Co.Ltd ,South Korea,Gas Utilities,248,4696,3,3424020,KRW,"[]"
8109.TWO,P-Duke Technology Co.Ltd. ,Taiwan,Electrical Components and Equipment,245,63,79,78546096,TWD,"[]"
6565.TSE,Abhotel Co. Ltd. ,Japan,Hotels Resorts and Cruise Lines,244,64,14,14175700,JPY,"[]"
027410.KO,BGF Co. Ltd. ,South Korea,Industrial Conglomerates,244,330,96,95708800,KRW,"[]"
5471.TW,Sonix Technology Co.Ltd. ,Taiwan,Semiconductors,243,80,168,167876992,TWD,"[]"
4726.TWO,Mycenax Biotech Inc. ,Taiwan,Biotechnology,243,23,206,205824000,TWD,"[]"
001780.KO,Aluko Co. Ltd. ,South Korea,Building Products,242,470,93,96414304,KRW,"[]"
1515.TW,Rexon Industrial Corp.Ltd ,Taiwan,Industrial Machinery and Supplies and Components,242,115,182,181474000,TWD,"[]"
7716.TSE,Nakanishi Inc. ,Japan,Health Care Equipment,2023,363,85,84977104,JPY,"[]"
9533.TSE,Toho Gas Co. Ltd. ,Japan,Gas Utilities,1841,4958,105,105120000,JPY,"[]"
058470.KQ,LEENO Industrial Inc. ,South Korea,Semiconductors,1715,202,15,15799600,KRW,"[]"
9010.TSE,Fuji Kyuko Co. Ltd. ,Japan,Leisure Facilities,1666,312,53,53100300,JPY,"[consumer-50]"
8964.TSE,Frontier Real Estate Investment Corporation ,Japan,Retail REITs,1659,159,1,541000,JPY,"[]"
2175.TSE,SMS Co. Ltd. ,Japan,Human Resource and Employment Services,1449,334,88,87559000,JPY,"[]"
6995.TSE,Tokai Rika Co. Ltd. ,Japan,Automotive Parts and Equipment,1443,3990,91,91322800,JPY,"[]"
6674.TSE,GS Yuasa Corporation ,Japan,Electrical Components and Equipment,1442,3644,81,80453400,JPY,"[]"
4206.TSE,Aica Kogyo Company Limited ,Japan,Specialty Chemicals,1439,1666,64,64010800,JPY,"[]"
4506.TSE,Sumitomo Pharma Co. Ltd. ,Japan,Pharmaceuticals,1438,3260,397,397292000,JPY,"[]"
6707.TSE,Sanken Electric Co. Ltd. ,Japan,Semiconductors,1414,1630,24,24142400,JPY,"[]"
4272.TSE,Nippon Kayaku Co. Ltd. ,Japan,Specialty Chemicals,1411,1374,166,165771008,JPY,"[]"
9336.TSE,Daiei Kankyo Co. Ltd. ,Japan,Environmental and Facilities Services,1407,477,100,0,JPY,"[]"
5522.TW,Farglory Land Development Co. Ltd. ,Taiwan,Real Estate Development,1403,694,782,781596032,TWD,"[]"
214370.KQ,Caregen Co. Ltd. ,South Korea,Pharmaceuticals,1400,61,49,10743000,KRW,"[]"
8129.TSE,Toho Holdings Co. Ltd. ,Japan,Health Care Distributors,1380,9796,65,64631300,JPY,"[]"
004170.KO,SHINSEGAE Inc. ,South Korea,Broadline Retail,1380,5549,10,9436410,KRW,"[consumer-50]"
9412.TSE,SKY Perfect JSAT Holdings Inc. ,Japan,Cable and Satellite,1367,846,289,290644992,JPY,"[]"
7846.TSE,Pilot Corporation ,Japan,Office Services and Supplies,1363,808,39,39449400,JPY,"[]"
000150.KO,Doosan Corporation ,South Korea,Industrial Conglomerates,1355,14131,18,13523000,KRW,"[]"
020150.KO,Lotte Energy Materials Corporation ,South Korea,Electronic Components,1354,534,46,46110800,KRW,"[tech-100]"
004990.KO,LOTTE Corporation ,South Korea,Industrial Conglomerates,1349,11241,72,70805296,KRW,"[]"
014680.KO,Hansol Chemical Co. Ltd. ,South Korea,Specialty Chemicals,1347,626,11,10878300,KRW,"[]"
002380.KO,KCC Corporation ,South Korea,Diversified Chemicals,1338,4961,7,7354170,KRW,"[]"
7947.TSE,FP Corporation ,Japan,Metal Glass and Plastic Containers,1331,1488,82,81847800,JPY,"[]"
6544.TSE,Japan Elevator Service Holdings Co.Ltd. ,Japan,Diversified Support Services,1331,253,89,89058400,JPY,"[]"
1434.TW,Formosa Taffeta Co. Ltd. ,Taiwan,Textiles,1330,1008,1683,1682470016,TWD,"[]"
