name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Wowprime Corp. ,2727.TW,Taiwan,Restaurants,668,677,82
CSBC Corporation ,2208.TW,Taiwan,Construction Machinery and Heavy Transportation Equipment,662,754,934
Alpha Networks Inc. ,3380.TW,Taiwan,Communications Equipment,662,1094,542
Zeria Pharmaceutical Co. Ltd. ,4559.TSE,Japan,Pharmaceuticals,661,487,44
ARTERIA Networks Corporation ,4423.TSE,Japan,Alternative Carriers,660,418,50
Taiwan Semiconductor Co. Ltd. ,5425.TWO,Taiwan,Semiconductors,660,493,249
Iriso Electronics Co. Ltd. ,6908.TSE,Japan,Electronic Components,658,370,24
Sinyi Realty Inc. ,9940.TW,Taiwan,Real Estate Services,656,464,737
National Petroleum Co. Ltd. ,9937.TW,Taiwan,Automotive Retail,655,780,309
Hankyu Hanshin REIT Inc. ,8977.TSE,Japan,Diversified REITs,653,83,1
SeAH Besteel Holdings Corporation ,001430.KO,South Korea,Steel,651,3337,36
F.C.C. Co. Ltd. ,7296.TSE,Japan,Automotive Parts and Equipment,650,1570,50
Dongwon Systems Corporation ,014820.KO,South Korea,Metal Glass and Plastic Containers,646,1056,29
The Awa Bank Ltd. ,8388.TSE,Japan,Regional Banks,646,525,41
Geo Holdings Corporation ,2681.TSE,Japan,Other Specialty Retail,644,2785,40
IS DongSeo Co. Ltd. ,010780.KO,South Korea,Construction and Engineering,639,1678,30
Jeju Air Co. Ltd. ,089590.KO,South Korea,Passenger Airlines,632,982,77
Andes Technology Corporation ,6533.TW,Taiwan,Semiconductors,623,32,51
SFA Semicon Co. Ltd. ,036540.KQ,South Korea,Semiconductors,611,443,164
Okamoto Industries Inc. ,5122.TSE,Japan,Commodity Chemicals,608,704,18
Cheng Uei Precision Industry Co. Ltd. ,2392.TW,Taiwan,Electronic Components,606,2896,477
Iljin Hysolus Co. Ltd. ,271940.KO,South Korea,Automotive Parts and Equipment,606,73,36
The Keiyo Bank Ltd. ,8544.TSE,Japan,Regional Banks,604,456,126
Kyoei Steel Ltd. ,5440.TSE,Japan,Steel,604,2360,43
Yamae Group Holdings Co.Ltd. ,7130.TSE,Japan,Distributors,598,4172,24
Oki Electric Industry Co. Ltd. ,6703.TSE,Japan,Electronic Equipment and Instruments,598,2576,87
Pan-International Industrial Corp. ,2328.TW,Taiwan,Electronic Components,596,846,518
